aliasable	0.1.3	0	|
ansi_term	0.11.0	0	|
ahash	0.8.11	4	./crates-cache/ahash-0.8.11/src/hash_quality_test.rs:232:fn hash<H: Hash, T: Hasher>(b: &H, hash_builder: &dyn Fn() -> T) -> u64 {|./crates-cache/ahash-0.8.11/src/random_state.rs:118:        static RAND_SOURCE: OnceBox<Box<dyn RandomSource + Send + Sync>> = OnceBox::new();|./crates-cache/ahash-0.8.11/src/random_state.rs:177:            fn get_src() -> &'static dyn RandomSource {|
anstream	0.6.15	14	./crates-cache/anstream-0.6.15/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.15/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.15/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstream	0.6.12	14	./crates-cache/anstream-0.6.12/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.12/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.12/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstyle	1.0.10	7	./crates-cache/anstyle-1.0.10/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.10/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.10/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
aho-corasick	0.7.10	20	./crates-cache/aho-corasick-0.7.10/src/prefilter.rs:67:    fn clone_prefilter(&self) -> Box<dyn Prefilter>;|./crates-cache/aho-corasick-0.7.10/src/prefilter.rs:96:    fn clone_prefilter(&self) -> Box<dyn Prefilter> {|./crates-cache/aho-corasick-0.7.10/src/prefilter.rs:112:pub struct PrefilterObj(Box<dyn Prefilter>);|
anstyle	1.0.6	7	./crates-cache/anstyle-1.0.6/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.6/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.6/src/effect.rs:165:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstream	0.6.18	28	./crates-cache/anstream-0.6.18/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.18/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.18/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstyle-parse	0.2.3	0	|
anstyle-parse	0.2.5	0	|
anstyle	1.0.8	7	./crates-cache/anstyle-1.0.8/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.8/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.8/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle-query	1.0.2	0	|
anstyle-query	1.1.1	0	|
anstyle-parse	0.2.6	0	|
aho-corasick	1.1.2	12	./crates-cache/aho-corasick-1.1.2/src/packed/teddy/builder.rs:322:    imp: Arc<dyn SearcherT>,|./crates-cache/aho-corasick-1.1.2/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./crates-cache/aho-corasick-1.1.2/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
aho-corasick	1.1.3	12	./crates-cache/aho-corasick-1.1.3/src/packed/teddy/builder.rs:330:    imp: Arc<dyn SearcherT>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
anstyle-query	1.1.2	0	|
anstyle-wincon	3.0.2	2	./crates-cache/anstyle-wincon-3.0.2/src/stream.rs:12:impl WinconStream for Box<dyn std::io::Write> {|./crates-cache/anstyle-wincon-3.0.2/src/stream.rs:23:impl WinconStream for &'_ mut Box<dyn std::io::Write> {||
anstyle-wincon	3.0.4	2	./crates-cache/anstyle-wincon-3.0.4/src/stream.rs:12:impl WinconStream for Box<dyn std::io::Write> {|./crates-cache/anstyle-wincon-3.0.4/src/stream.rs:23:impl WinconStream for &'_ mut Box<dyn std::io::Write> {||
anstyle-wincon	3.0.8	3	./crates-cache/anstyle-wincon-3.0.8/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.8/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.8/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
arrayref	0.3.6	0	|
arrayvec	0.5.1	3	./crates-cache/arrayvec-0.5.1/tests/tests.rs:261:    &data as &dyn Send;|./crates-cache/arrayvec-0.5.1/tests/tests.rs:262:    &data as &dyn Sync;|./crates-cache/arrayvec-0.5.1/tests/tests.rs:498:    let t = || -> Result<(), Box<dyn Error>> {|
askama_derive	0.12.5	0	|
askama	0.12.1	10	./crates-cache/askama-0.12.1/src/filters/mod.rs:311:pub fn center(src: &dyn fmt::Display, dst_len: usize) -> Result<String> {|./crates-cache/askama-0.12.1/src/lib.rs:126:    fn dyn_render_into(&self, writer: &mut dyn std::fmt::Write) -> Result<()>;|./crates-cache/askama-0.12.1/src/lib.rs:129:    fn dyn_write_into(&self, writer: &mut dyn std::io::Write) -> std::io::Result<()>;|
askama_escape	0.10.3	0	|
askama_derive	0.14.0	9	./crates-cache/askama_derive-0.14.0/src/integration.rs:70:                values: &dyn askama::Values\|./crates-cache/askama_derive-0.14.0/src/integration.rs:343:            __askama_values: &dyn askama::Values,\|./crates-cache/askama_derive-0.14.0/src/integration.rs:359:            __askama_values: &dyn askama::Values,\|
askama_parser	0.2.1	0	|
askama_parser	0.14.0	0	|
atty	0.2.14	0	|
askama	0.14.0	103	./crates-cache/askama-0.14.0/src/filters/json.rs:105:    fn write_into<W: fmt::Write + ?Sized>(&self, f: &mut W, _: &dyn Values) -> crate::Result<()> {|./crates-cache/askama-0.14.0/src/filters/json.rs:119:    fn write_into<W: fmt::Write + ?Sized>(&self, f: &mut W, _: &dyn Values) -> crate::Result<()> {|./crates-cache/askama-0.14.0/src/filters/humansize.rs:44:        values: &dyn Values,|
assert_cmd	2.0.14	16	./crates-cache/assert_cmd-2.0.14/examples/example_fixture.rs:7:fn run() -> Result<(), Box<dyn Error>> {|./crates-cache/assert_cmd-2.0.14/src/cargo.rs:165:    cause: Option<Box<dyn Error + Send + Sync + 'static>>,|./crates-cache/assert_cmd-2.0.14/src/assert.rs:91:    context: Vec<(&'static str, Box<dyn fmt::Display + Send + Sync>)>,|
assert_cmd	2.0.16	16	./crates-cache/assert_cmd-2.0.16/examples/example_fixture.rs:9:fn run() -> Result<(), Box<dyn Error>> {|./crates-cache/assert_cmd-2.0.16/src/cargo.rs:165:    cause: Option<Box<dyn Error + Send + Sync + 'static>>,|./crates-cache/assert_cmd-2.0.16/src/assert.rs:91:    context: Vec<(&'static str, Box<dyn fmt::Display + Send + Sync>)>,|
assert_cmd	2.0.17	16	./crates-cache/assert_cmd-2.0.17/examples/example_fixture.rs:9:fn run() -> Result<(), Box<dyn Error>> {|./crates-cache/assert_cmd-2.0.17/src/cargo.rs:170:    cause: Option<Box<dyn Error + Send + Sync + 'static>>,|./crates-cache/assert_cmd-2.0.17/src/assert.rs:91:    context: Vec<(&'static str, Box<dyn fmt::Display + Send + Sync>)>,|
autocfg	1.0.0	0	|
anyhow	1.0.80	55	./crates-cache/anyhow-1.0.80/build/probe.rs:32:const _: fn(&dyn Error) -> Option<&Backtrace> = |err| error::request_ref::<Backtrace>(err);|./crates-cache/anyhow-1.0.80/tests/test_boxed.rs:19:    let error = Box::<dyn StdError + Send + Sync>::from("oh no!");|./crates-cache/anyhow-1.0.80/tests/test_boxed.rs:25:            .downcast_ref::<Box<dyn StdError + Send + Sync>>()|
bitflags	1.2.1	0	|
autocfg	1.3.0	0	|
anyhow	1.0.98	58	./crates-cache/anyhow-1.0.98/tests/test_boxed.rs:19:    let error = Box::<dyn StdError + Send + Sync>::from("oh no!");|./crates-cache/anyhow-1.0.98/tests/test_boxed.rs:25:            .downcast_ref::<Box<dyn StdError + Send + Sync>>()|./crates-cache/anyhow-1.0.98/tests/test_source.rs:20:    fn source(&self) -> Option<&(dyn StdError + 'static)> {|
anyhow	1.0.89	55	./crates-cache/anyhow-1.0.89/build/probe.rs:32:const _: fn(&dyn Error) -> Option<&Backtrace> = |err| error::request_ref::<Backtrace>(err);|./crates-cache/anyhow-1.0.89/tests/test_boxed.rs:19:    let error = Box::<dyn StdError + Send + Sync>::from("oh no!");|./crates-cache/anyhow-1.0.89/tests/test_boxed.rs:25:            .downcast_ref::<Box<dyn StdError + Send + Sync>>()|
base64	0.11.0	1	./crates-cache/base64-0.11.0/src/decode.rs:64:    fn cause(&self) -> Option<&dyn error::Error> {||
bincode	1.3.3	0	|
blake2b_simd	0.5.10	0	|
bitflags	1.3.2	0	|
byteorder	1.3.4	0	|
byteorder	1.5.0	0	|
bitflags	2.6.0	0	|
bitflags	2.4.2	0	|
cc	1.0.52	0	|
cfg_aliases	0.2.1	0	|
cfg-if	0.1.10	0	|
bitflags	2.9.1	0	|
cfg-if	1.0.0	0	|
bstr	0.2.12	9	./crates-cache/bstr-0.2.12/examples/words.rs:8:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-0.2.12/examples/uppercase.rs:8:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-0.2.12/examples/lines-std.rs:4:fn main() -> Result<(), Box<dyn Error>> {|
bstr	1.10.0	9	./crates-cache/bstr-1.10.0/examples/words.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.10.0/examples/uppercase.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.10.0/examples/lines-std.rs:4:fn main() -> Result<(), Box<dyn Error>> {|
bstr	1.12.0	9	./crates-cache/bstr-1.12.0/examples/words.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.12.0/examples/uppercase.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.12.0/examples/lines-std.rs:4:fn main() -> Result<(), Box<dyn Error>> {|
bstr	1.9.0	9	./crates-cache/bstr-1.9.0/examples/words.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.9.0/examples/uppercase.rs:6:fn main() -> Result<(), Box<dyn Error>> {|./crates-cache/bstr-1.9.0/examples/lines-std.rs:4:fn main() -> Result<(), Box<dyn Error>> {|
chrono	0.4.19	0	|
clap	2.33.0	0	|
clap_complete	4.5.1	18	./crates-cache/clap_complete-4.5.1/src/dynamic/shells/bash.rs:16:        buf: &mut dyn std::io::Write,|./crates-cache/clap_complete-4.5.1/src/dynamic/shells/bash.rs:60:        buf: &mut dyn std::io::Write,|./crates-cache/clap_complete-4.5.1/src/dynamic/shells/shell.rs:54:    fn completer(&self) -> &dyn crate::dynamic::Completer {|
clap_builder	4.5.1	40	./crates-cache/clap_builder-4.5.1/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.5.1/src/builder/value_parser.rs:74:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.5.1/src/builder/value_parser.rs:256:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
clap_builder	4.5.17	28	./crates-cache/clap_builder-4.5.17/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.5.17/src/builder/value_parser.rs:74:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.5.17/src/builder/value_parser.rs:256:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
clap_builder	4.5.38	28	./crates-cache/clap_builder-4.5.38/src/output/fmt.rs:45:        let writer: &mut dyn std::io::Write = match self.stream {|./crates-cache/clap_builder-4.5.38/src/builder/value_parser.rs:74:    Other(Box<dyn AnyValueParser>),|./crates-cache/clap_builder-4.5.38/src/builder/value_parser.rs:256:    ) -> Option<Box<dyn Iterator<Item = crate::builder::PossibleValue> + '_>> {|
clap_complete_fig	4.5.0	1	./crates-cache/clap_complete_fig-4.5.0/src/fig.rs:17:    fn generate(&self, cmd: &Command, buf: &mut dyn std::io::Write) {||
clap_complete_fig	4.5.2	1	./crates-cache/clap_complete_fig-4.5.2/src/fig.rs:17:    fn generate(&self, cmd: &Command, buf: &mut dyn std::io::Write) {||
clap_complete	4.5.28	29	./crates-cache/clap_complete-4.5.28/src/engine/custom.rs:28:pub struct ArgValueCandidates(Arc<dyn ValueCandidates>);|./crates-cache/clap_complete-4.5.28/src/engine/custom.rs:107:pub struct ArgValueCompleter(Arc<dyn ValueCompleter>);|./crates-cache/clap_complete-4.5.28/src/engine/custom.rs:169:    filter: Option<Box<dyn Fn(&std::path::Path) -> bool + Send + Sync>>,|
clap_complete_nushell	4.5.5	1	./crates-cache/clap_complete_nushell-4.5.5/src/lib.rs:38:    fn generate(&self, cmd: &Command, buf: &mut dyn std::io::Write) {||
clap_lex	0.7.0	0	|
clap	4.5.38	1	./crates-cache/clap-4.5.38/examples/typed-derive.rs:48:fn parse_key_val<T, U>(s: &str) -> Result<(T, U), Box<dyn Error + Send + Sync + 'static>>||
clap_lex	0.7.4	0	|
clap_lex	0.7.2	0	|
clap	4.5.1	1	./crates-cache/clap-4.5.1/examples/typed-derive.rs:48:fn parse_key_val<T, U>(s: &str) -> Result<(T, U), Box<dyn Error + Send + Sync + 'static>>||
clap_derive	4.5.0	0	|
clap	4.5.17	1	./crates-cache/clap-4.5.17/examples/typed-derive.rs:48:fn parse_key_val<T, U>(s: &str) -> Result<(T, U), Box<dyn Error + Send + Sync + 'static>>||
colorchoice	1.0.0	0	|
colorchoice	1.0.2	0	|
clap_derive	4.5.13	0	|
clap_complete	4.5.50	33	./crates-cache/clap_complete-4.5.50/src/engine/custom.rs:44:pub struct ArgValueCompleter(Arc<dyn ValueCompleter>);|./crates-cache/clap_complete-4.5.50/src/engine/custom.rs:108:pub struct ArgValueCandidates(Arc<dyn ValueCandidates>);|./crates-cache/clap_complete-4.5.50/src/engine/custom.rs:152:pub struct SubcommandCandidates(Arc<dyn ValueCandidates>);|
colorchoice	1.0.3	0	|
clap_derive	4.5.32	0	|
color-print	0.3.5	0	|
color-print	0.3.6	0	|
color-print	0.3.7	0	|
constant_time_eq	0.1.5	0	|
csv-core	0.1.10	0	|
dirs	2.0.2	0	|
difflib	0.4.0	0	|
color-print-proc-macro	0.3.6	0	|
color-print-proc-macro	0.3.7	0	|
color-print-proc-macro	0.3.5	0	|
dirs-sys	0.3.4	0	|
dirs	5.0.1	0	|
dirs-sys	0.4.1	0	|
dirs	6.0.0	0	|
dirs-sys	0.5.0	0	|
doc-comment	0.3.3	0	|
dunce	1.0.4	0	|
dunce	1.0.5	0	|
crossbeam-utils	0.7.2	4	./crates-cache/crossbeam-utils-0.7.2/tests/thread.rs:102:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.7.2/tests/thread.rs:122:        .downcast_ref::<Vec<Box<dyn Any + Send + 'static>>>()|./crates-cache/crossbeam-utils-0.7.2/src/thread.rs:426:                let closure: Box<dyn FnMut() + Send + 'env> = Box::new(closure);|
csv	1.1.3	37	./crates-cache/csv-1.1.3/examples/tutorial-read-headers-01.rs:5:fn run() -> Result<(), Box<dyn Error>> {|./crates-cache/csv-1.1.3/examples/tutorial-write-serde-01.rs:5:fn run() -> Result<(), Box<dyn Error>> {|./crates-cache/csv-1.1.3/examples/tutorial-read-serde-03.rs:10:fn run() -> Result<(), Box<dyn Error>> {|
